scenario_family,scenario,scenario_value,strategy_total_return_after_tax,strategy_total_return_pre_tax,benchmark_50_50_total_return,ibovespa_total_return,strategy_annualized_return_after_tax,strategy_volatility_after_tax,strategy_sharpe_after_tax,strategy_max_drawdown_after_tax,excess_return_vs_50_50_after_tax,excess_return_vs_ibovespa_after_tax,total_tax_paid,total_transaction_cost,total_sales_value_turnover_proxy,total_trade_days,portfolio_start_date,portfolio_end_date,number_of_companies
baseline,baseline,baseline,1.2396721615243695,1.433906174764942,1.0431948234745505,0.3588675330808868,0.14569035485555792,0.0,0.687351716419634,-0.42629703421807874,0.19647733804981904,0.8808046284434827,0.12548917623156747,0.057382124425254935,28.71975327484009,567,2020-01-02,2025-12-30,11
entry_threshold,entry_threshold_1,1.0,1.168212116156031,1.358757077633491,1.0431948234745505,0.3588675330808868,0.13944105740612267,0.0,0.6562326351466751,-0.4276329688088877,0.12501729268148054,0.8093445830751442,0.12422906862760431,0.17406566957529643,87.11986762243586,1536,2020-01-02,2025-12-30,11
entry_threshold,entry_threshold_1_25,1.25,1.1543837066888263,1.3359457182485421,1.0431948234745505,0.3588675330808868,0.13821201587633514,0.0,0.6509501482139018,-0.4308498566592923,0.11118888321427578,0.7955161736079395,0.11898237847483878,0.12429604196162126,62.21016900179144,1183,2020-01-02,2025-12-30,11
entry_threshold,entry_threshold_1_5,1.5,1.1995569661274788,1.388834969935079,1.0431948234745505,0.3588675330808868,0.14220298063794923,0.0,0.6705721534674252,-0.4302329032192126,0.15636214265292825,0.8406894330465919,0.12400222469638647,0.08941943839241168,44.754428915402045,870,2020-01-02,2025-12-30,11
entry_threshold,entry_threshold_2,2.0,1.2267299337075572,1.4224239171391622,1.0431948234745505,0.3588675330808868,0.14457094949741833,0.0,0.6815688014804918,-0.4267992990422246,0.18353511023300673,0.8678624006266704,0.12795333349846405,0.052810393366854294,26.431601880110577,518,2020-01-02,2025-12-30,11
rolling_window,rolling_window_126,126,1.2167670852509516,1.416757366954862,1.0431948234745505,0.3588675330808868,0.14370554772252508,0.0,0.6785314395826013,-0.4289163122406763,0.17357226177640106,0.8578995521700647,0.12993393347636062,0.06253593877235962,31.299237355565992,601,2020-01-02,2025-12-30,11
rolling_window,rolling_window_252,252,1.221295719231692,1.3886303634691801,1.0431948234745505,0.3588675330808868,0.1440993179225465,0.0,0.6763471667621092,-0.4428665913361117,0.1781008957571415,0.8624281861508052,0.10664843928908085,0.03927420252577694,19.656738364151355,459,2020-01-02,2025-12-30,11
rolling_window,rolling_window_63,63,1.1581446096001629,1.3521546082260962,1.0431948234745505,0.3588675330808868,0.13854692521951395,0.0,0.660160327365202,-0.43319650066039983,0.11494978612561235,0.799277076519276,0.13053990445743519,0.09827767907049098,49.187978374780734,976,2020-01-02,2025-12-30,11
tax_treatment,tax_after_tax_baseline,0.15,1.2396721615243695,1.433906174764942,1.0431948234745505,0.3588675330808868,0.14569035485555792,0.0,0.687351716419634,-0.42629703421807874,0.19647733804981904,0.8808046284434827,0.12548917623156747,0.057382124425254935,28.71975327484009,567,2020-01-02,2025-12-30,11
tax_treatment,tax_pre_tax,0.0,1.4339061747649753,1.433906174764942,1.0431948234745505,0.3588675330808868,0.16187573697866897,0.0,0.7652057169347666,-0.4250850537091526,0.3907113512904248,1.0750386416840885,0.0,0.057382124425254935,28.71975327484009,567,2020-01-02,2025-12-30,11
transaction_cost,transaction_cost_0,0.0,1.3102262340093276,1.5267229826424304,1.0431948234745505,0.3588675330808868,0.15169986292060567,0.0,0.7158877226377317,-0.4257544094641641,0.2670314105347771,0.9513587009284408,0.13802446233950705,0.0,29.656434247451045,564,2020-01-02,2025-12-30,11
transaction_cost,transaction_cost_0_0005,0.0005,1.2743112123127474,1.479393492761016,1.0431948234745505,0.3588675330808868,0.1486601330563304,0.0,0.7014794069159301,-0.42602595528368237,0.23111638883819685,0.9154436792318605,0.13163097047748076,0.02916582138355937,29.180404294251147,567,2020-01-02,2025-12-30,11
transaction_cost,transaction_cost_0_001,0.001,1.2396721615243695,1.433906174764942,1.0431948234745505,0.3588675330808868,0.14569035485555792,0.0,0.687351716419634,-0.42629703421807874,0.19647733804981904,0.8808046284434827,0.12548917623156747,0.057382124425254935,28.71975327484009,567,2020-01-02,2025-12-30,11
transaction_cost,transaction_cost_0_0025,0.0025,1.1411066828214613,1.3056761197604843,1.0431948234745505,0.3588675330808868,0.1370257936220718,0.0,0.6460653761893743,-0.4271074806143884,0.09791185934691082,0.7822391497405745,0.10836700404155374,0.13671491438641864,27.41134033447694,567,2020-01-02,2025-12-30,11
transaction_cost,transaction_cost_0_005,0.005,0.9906130300242402,1.1124291926554615,1.0431948234745505,0.3588675330808868,0.12313384744631795,0.0,0.5798793307566089,-0.42844898823286437,-0.05258179345031033,0.6317454969433534,0.08238477497477409,0.2525669635068657,25.38297983244,565,2020-01-02,2025-12-30,11
